Nombre;Teléfono;Correo electrónico;Direccion;Categoria
HAMBURGUESAS EL CORRAL SUCURSAL SANTA MONICA;3185778732;notifica@alimentosalconsumidor.com;CL 28N No. 6A 16;RESTAURANTE
CBC 43;6017434105;carlosgarcia@cbc.com.co;AV 6 No. 15N 61;RESTAURANTE
KOKORIKO PASEO BOLIVAR AVE. SEXTACALI;8612233;representacionlegal@grupoiga.co;AV 4N No. 10N 130 ;RESTAURANTE
KOKORIKO No. 11;8612233;representacionlegal@grupoiga.co;CL 5 No. 45 20 LC 1;RESTAURANTE
TIZONES LTDA;6536119;restaurantetizones@hotmail.com;AV 6B No. 28N  57;RESTAURANTE
CBC 45;6017434105;carlosgarcia@cbc.com.co;CL 13 No. 72  39;RESTAURANTE
KOKORIKO No. 8;8612233;representacionlegal@grupoiga.co;CRA 6 No. 10 41;RESTAURANTE
EL SANDWICH CUBANO  3;8857234;patricia.avila@sandwichcubano.com;CR 6 No. 13 79;RESTAURANTE
LEÑOS & CARBON SUCURSAL JUMBO CHIPICHAPE;3185778732;notifica@alimentosalconsumidor.com;CL 40 No. 6A 45 LC 8 9;RESTAURANTE
L&C SUCURSAL UNICENTRO II;3185778732;notifica@alimentosalconsumidor.com;CL 5 No. 95  255 LC 382 - 383 - 384;RESTAURANTE
L&C SUCURSAL UNICENTRO I;3185778732;notifica@alimentosalconsumidor.com;CL 5 No. 95  255 LC 132;RESTAURANTE
RESTAURANTE Y CENADERO APOLO;3157376683;jchc.contable@gmail.com;AV 6 No. 24N  04;RESTAURANTE
PIZZERIA Y RESTAURANTE SALERNO;8938989;contabilidad@salernopizzeria.co;CL 3 OESTE No. 3 35;RESTAURANTE
KAREN'S PIZZA NO.2;5542730;contabilidad@karenspizza.com;CR 34 No. 4C  08;RESTAURANTE
KAREN'S PIZZA  4;6671021;contabilidad@karenspizza.com;AV 9AN No. 14N 34;RESTAURANTE
RESTAURANTE ARGENTINO  HORNEADA;3481404;contacto@elargentino.co;CL 2 OESTE No. 1  38;RESTAURANTE
EL SANDWICH CUBANO CENTRO COMERCIAL CHIPICHAPE;6592008;facturacionelectronicajms@gmail.com;CL 36N No. 6BIS  40 LC 311;RESTAURANTE DE COMIDA RÁPIDA
MARCAREM   1;6026613438;marcaremsas@gmail.com;CL 12 No. 6N 16;RESTAURANTE DE COMIDA RÁPIDA
BURGER KING CHIPICHAPE;3722040;burgerking@burgerking.com.co;CL 38N No. 6  00 LC 309 ;RESTAURANTE
PRESTO CLO UNICENTRO;5933700;impuetos@frayco.com.co;CR 100 No. 5 169 LC 379;RESTAURANTE
CUBANO LA TERMINAL;6602814;carlosmaya186@gmail.com;CL 30N No. 2A  29 LC 142;RESTAURANTE DE COMIDA RÁPIDA
INVERSIONES  JMS FAMILY;3451245;facturacionelectronicajms@gmail.com;CL 35AN No. 6ABIS 00 LC 508 ;RESTAURANTE DE COMIDA RÁPIDA
LA COMITIVA;6025564631;drjcquintero@yahoo.com;CL 4 No. 34  32;RESTAURANTE
PRESTO CLO CENTENARIO;5933700;impuestos@frayco.com.co;AV  4N No. 7N 46 LC 4 231;RESTAURANTE
CUBANO NORTE 1;6602800;carlosmaya186@gmail.com;AV 6 No. 28N  37;RESTAURANTE DE COMIDA RÁPIDA
PRESTO CLO HOMECENTER;5933700;impuestos@frayco.com.co;AV 6AN No. 35 00 LC 3;RESTAURANTE
LEÑOS & CARBON SUCURSAL LEÑOS & CARBON GRANADA;3185778732;notifica@alimentosalconsumidor.com;AV 9N N 10  131 LC 1;RESTAURANTE
STORIA  DAMORE   CHIPICHAPE;3235864791;contabilidad@alucan.com.co;CL 38N No. 6  45 LC 206 207 207 ;RESTAURANTE
ALUAN SAS  STORIA D'AMORE UNICENTRO;6601212;contabilidad@alucan.com.co;CR 100 No. 5  169 LC 512 A - 512 B;RESTAURANTE
STORIA D'AMORE LYRATA;6601212;contabilidad@alucan.com.co;CL 17A No. 122  211 BL 3;RESTAURANTE
AL PUNTO;8862000;alpunto@emcali.net.co;CR 1 No. 1  40;RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL COSMOCENTRO;3185778732;notifica@alimentosalconsumidor.com;CL 5 No. 50 103 LC 312;RESTAURANTE
CLUB SOCIAL Y DEPORTIVO GOBERNACION DEL VALLE;5550853;contabilidad1@clubdeldepartamento.com;KM 14 LA VORAGINE;RESTAURANTE
CBC 46;6017434105;carlosgarcia@cbc.com.co;CL 5 No. 50  103;RESTAURANTE
RESTAURANTE HOOTERS;6608877;jaz.duque@hooters.com.co;CL 14N No. 9 04;RESTAURANTE
CANTINA LA 15 CALI SUR;3166221397;notificaciones@cantinala15.com.co;CL 18 No. 106  42 ;RESTAURANTE
RESTAURANTE BAR SAN CARLO;5183000;contabilidad@cerveceriausaca.com;CR 4 No. 4  55/63;RESTAURANTE
HAMBURGUESAS EL CORRAL SUCURSAL PARQUE DEL PERRO;3185778732;notifica@alimentosalconsumidor.com;CR 34 No. 3 54;RESTAURANTE
PRESTO CLO CAÑASGORDAS;5933700;impuestos@frayco.com.co;CL 18 No. 114B  40;RESTAURANTE
PRESTO CLO CC COSMOCENTRO;5933700;impuestos@frayco.com.co;CL 5 No. 50  103 LC 306;RESTAURANTE
PRESTO CLO JARDIN PLAZA;5933700;impuestos@frayco.com.co;CR 98 No. 16  50 LC R 7 ;RESTAURANTE
PRESTO CLO PALMETTO;5933700;impuestos@frayco.com.co;CL 9 No. 48 91 LC 209;RESTAURANTE
ODISEO BISTRO;3237291792;marasaplaces@hotmail.com;AV 9 No. 10N  107;RESTAURANTE
EL BORONDO CRISTO REY;5134444;rriol25@hotmail.com;CARRETERA VIA CRISTO REY BELLAVISTA FRENTE AL JARDIN INFANTIL;RESTAURANTE
STORIA D¿AMORE GRANADA 2;3235864791;contabilidad@alucan.com.co;AV 9 No. 14N  32;RESTAURANTE
MC DONALD¿S GUADALUPE;6538000;daniela.polanco@co.mcd.com;CRA 56 No. 5 80;RESTAURANTE
MC DONALD'S ROOSEVELT;6538000;daniela.polanco@co.mcd.com;CR 39 No. 6 25;RESTAURANTE
MC DONALD'S CHIPICHAPE;6538000;daniela.polanco@co.mcd.com;AV 6 No. 35N 47;RESTAURANTE
MC DONALD'S PALMETTO;6538000;daniela.polanco@co.mcd.com;CL 9 No. 48  51 LC 214 - 215;RESTAURANTE
ALDEA ASIATICA GRANADA;6609402;olga.patino@kvgroup.co;AV 9A No. 15AN  30;RESTAURANTE
LA NEBLINA RESTAURANTE;3103609;contabilidadneblinas1@gmail.com;PASO DE LA NIEBLA KM 18 VIA AL MAR 1278061 REF LC;RESTAURANTE
ARABBA COD 42;3232213597;santiagodccali01@gmail.com;CL 1 OESTE No. 4 26;RESTAURANTE
BARRA CLO PACIFIC MALL;5933700;contabilidadrc@cafeoma.com;CL 36 No. 6A 65 ISLA 1;RESTAURANTE DE AUTOSERVICIO
BARRA CLO CC CHIPICHAPE;5933700;contabilidadrc@cafeoma.com;CL 38N No. 6N 35 KIOSKO 809;RESTAURANTE DE AUTOSERVICIO
EL RANCHO DE JONAS PLAZOLETA;5134444;gerencia@elranchodejonas.com;AV 2 No. 10N  01 ;RESTAURANTE
PRESTO CLO UNICO;5933700;impuestos@frayco.com.co;CR 3 No. 52  120 LC K05A;RESTAURANTE DE AUTOSERVICIO
PALOMULATA SAS;3215616277;palomulata2020@gmail.com;CL 38N No. 4B  09;RESTAURANTE
