Categoria;Nombre de establecimiento;Teléfono;Correo electrónico;Direccion
HOTEL;HOTEL OBELISCO;6028933019;finanzas@hotelobeliscocali.com;AV COLOMBIA No. 4 OESTE  49
HOTEL;NH ROYAL CALI;3132461682;impuestoscolombia@nh-hotels.com;CR 100B No. 11A  99
HOTEL;HOTEL DANN CALI;8933000;ed-continental@emcali.net.co;CR 1 No. 1  40
HOTEL;CASA SANTA MONICA SU HOGAR EN CALI;6026685180;administracion@casasantamonicacali.com;CL 23N No. 8N 34
HOTEL;HOTEL GRANADA REAL;6614920;contador@hotelgranadareal.com.co;AV 8N No. 15AN 31
HOTEL;HOTEL EL PENON;4888860;contabilidad@bithotels.co;CL 1 Oeste No. 2 61
HOTEL;TORRE DE CALI PLAZA HOTEL;6533535;contralor@hoteltorredecali.com;AV 3N No. 18N 26
HOTEL;JABA HOTEL SANTIAGO DE CALI S.A.S.;8881756;contabilidad@hotelsantiagodecali.com;CR 6 No. 11  48
HOTEL;INTERCONTINENTAL CALI UN HOTEL ESTELAR;8920470;notificaciones@hotelesestelar.com;AV COLOMBIA No. 2  72
HOTEL;HOTEL STEIN COLONIAL;6614927;contabilidad.hotelstein@gmail.com;AV 4N No. 3 33
HOTEL;HOTEL SAN FERNANDO REAL;5567597;gerenciaoperativa@hotelsanfernadoreal.com;CL 5B1 No. 36  40
HOTEL;HOTEL CENTRALIA DEL NORTE;6613579;hotelcentraliadelnorte@hotmail.com;AV 2B No. 31N  14
HOTEL;HOTEL IMBANACO CALI;6025514230;gerencia@hotelimbanacocali.com;CR 40 No. 5A  23
HOTEL;HOTEL PLAZA VERSALLES;3865080;cartera.plazaversalles@gmail.com;AV 5N No. 17 59
HOTEL;HOTEL EL GRAN TERMINAL;6601505;hgterminal@gmail.com;AV 2B No. 31AN  91
HOTEL;HOTEL TOURMALET;6608738;marluberli@yahoo.com;CL 31N No. 2B  120
HOTEL;HOTEL PLAZA LAS AMERICAS;6601010;contabilidad@hotelplazalasamericascali.com;CL 21N No. 3  34
