NOMBRE;CATEGORIA;SUBCATEGORIA;RESEÑA HISTORICA;DIRECCION;   NUMERO DE TELEFONO;HORARIO;PAGINA WEB O CORREO ELECTRONICO;PRECIO;ACCESIBILIDAD (discapacitados) ;RUTAS DEL MIO CERCANAS;PARQUEADEROS;RECOMENDACIONES;RESPONSABLE;;;;;;;;;;;;;;;;
PLAZA DE CAICEDO;CULTURAL;PLAZAS Y PARQUES;Ubicada entre las carreras 4ª y 5ª con calles 11 y 12.Durante la época de la colonia se le llamo Plaza Mayor y constituyó el centro de reunión de la aldea colonial, posteriormente fue llamada Plaza de la Constitución hasta 1913 cuando se le cambia el nombre a Plaza de Cayzedo, como un homenaje póstumo al prócer caleño JOAQUIN DE CAYZEDO Y CUERO, protomártir de la independencia y quien fue fusilado en la ciudad de Pasto el 25 de Enero del año 1813, fue así como se instaló en el centro de la plaza un monumento en su nombre.;cra 5 cra 4 / Calle 11 Calle 12;N/A;N/A;www.cali.gov.co;N/A;SI;E21 - P52D - P72;Cuenta con varios parqueaderos a sus alrededores;N/A;N/A;;;;;;;;;;;;;;;;
BULEVAR DE LA AVENIDA COLOMBIA;CULTURAL;PLAZAS Y PARQUES;El Paseo de la Avenida Colombia es una obra que ha marcado un hito en todo nuestro territorio, tanto por cambiarnos la mentalidad sobre la importancia que tiene el espacio público en una urbe, así como por marcar la directriz de la ciudad del siglo XXI que todos queremos, que ante todo sea amiga del medio ambiente y de los peatones”. Sociedad Colombiana de Arquitectos les concedió un reconocimiento a la ciudad y a la arquitecta EllyBurckhardt por el diseño del Paseo de la Avenida Colombia.;Avenida colombia calle 6 calle 13;N/A;N/A;www.cali.gov.co;N/A;SI; E37, T31, T40, T42, T50, P10A, P10D, P30A, P40A, P40B;Cuenta con varios parqueaderos a sus alrededores;N/A;Coorporación para la Recreación Popular;;;;;;;;;;;;;;;;
PLAZOLETA JAIRO VARELA;CULTURAL;PLAZAS Y PARQUES;Un nuevo y moderno espacio público de 8000 metros cuadrados se recuperó en el corazón de la ciudad, tras la demolición de una manzana de edificios. Es la Plazoleta de la Caleñidad “Jairo Varela”, ubicada frente al CAM, entre las avenidas 2N y 4N y las calles 10N y 12N. Esta gran plaza es un sitio para el esparcimiento, tiene restaurantes, cafés, espacios para la tertulia y un cine foro. Es un lugar propicio también para espectáculos públicos y la realización de conciertos al aire libre. Tiene, además, dos sótanos con 243 parqueaderos y 19 fuentes de agua. Este amplio sitio urbano tiene como propósito ofrecer nuevos espacios públicos que se conviertan en puntos de encuentro masivos para las familias caleñas y visitantes, alrededor de eventos y actividades lúdicas que se realicen en la plazoleta. El espacio es administrado por la Corporación para la Recreación Popular, mediante convenio interadministrativo suscrito con el Municipio de Cali.;Av. 2 Nte. # 10 Norte -75;N/A;N/A;www.cali.gov.co;N/A;SI;"  P30A, P40A, P40B, P T31, T40, T42,  T50
P10A,  P10D ";Si cuenta con parqueadero valor  $2.500 la primera hora y $2300 hora adicional - Horario  lun vie 6am a 9pm  sab, dom y fest de 10am a 6 pm ;La palzoleta cuento con: 2 islas (cafes)  2 restaurantes, museo con horario de lun vier de 9am a 5pm - sabados de 8am a 12pm y un auditorio para uso de entidades del municipio;Coorporacion para la Recreación Popular;;;;;;;;;;;;;;;;
PARQUE PANAMERICANO (DE LAS BANDERAS);CULTURAL;PLAZAS Y PARQUES;Ubicado sobre la calle 5ª entre carreras 34 y 36. Es un espacio creado como antesala a la unidad deportiva San Fernando donde se aprovecha el manejo de los pisos y el agua como eje central para la realización de eventos masivos de todo tipo. El diseño arquitectónico fue realizado por Manuel Lago Franco y Jaime Saenz Caicedo. Fue el lugar elegido para ubicar la llama olímpica a su llegada a la ciudad antes de la ceremonia de inauguración de los Vl Juegos Panamericanos realizados en 1971. Este lugar fue propuesto como Monumento Nacional el 26 de Octubre de 1994.;Calle 5, Carrera 34 y Carrera 36;N/A;N/A;N/A;N/A;SI;E21 - E27 - E27B (HORA PICO) - E37 T31 - T47B - T57A;cuanta con parqueadero publico a un lado del parque;N/A;N/A;;;;;;;;;;;;;;;;
BARRIO SAN ANTONIO;CULTURAL;PATRIMONIO HSITORICO Y TURISTICO;Ubicado en la colina del mismo nombre, es un barrio central de uso residencial, que escapa de los esquemas generales del comportamiento de los demás barrios centrales, ha conservado en su rica arquitectura el colorido, la sencillez, la frescura y calidez ambiental de un pequeño pueblo dentro de una gran ciudad. Sus viejas casonas han mantenido su identidad cultural con variedad de estilos y contenido estético, en el sobresalen talleres artesanales, anticuarios, espacios para el arte y la cultura  y pequeños restaurantes que mantienen la tradición colonial popular.;calle 5, calle 3OE / Carrera 4 Carrera 12;N/A;N/A;N/A;N/A;Si, aunque sus calles son empedradas e inclinadas lo cual dificulta el transito para los discapacitados;E21, A06, A05, T31, A02;No cuenta con parqueadero,  es permitido parquear en las aceras de la calle;N/A;N/A;;;;;;;;;;;;;;;;
COMPLEJO LA MERCED;CULTURAL;PATRIMONIO HSITORICO Y TURISTICO;Ubicado entre carreras 3ª y 4ª con calle 7ª, construido en el sitio en donde el 25 de Julio de 1536 se oficiara la primer misa en la ciudad, con motivo de la fundación de la misma, misa realizada por Fray Santos de Añasco. este complejo esta conformado por las Capillas de la Virgen de las Mercedes y la Capilla de la Virgen de los Remedios, la Capilla de San Juan de Letrán, el Convento Religioso y el Museo de Arte Colonial y Religioso La Merced. Fue declarado Monumento Nacional en el mes de Febrero de 1975;Carrera 4 entre calle 6 y Calle 7;8892309;N/A;N/A;N/A;SI;A14B, E21, A06, A05;No cuenta con parqueadero,  es permitido parquear en las aceras de la calle;está conformado por las Capillas de la Virgen de las Mercedes , la Capilla de la Virgen de los Remediosy  la Capilla de San Juan de Letrán, el Convento Religioso, el Museo de Arte Colonial y Religioso La Merced y el Museo Arqueologico. El horario de la misas es: ;N/A;;;;;;;;;;;;;;;;
PALACIO NACIONAL;CULTURAL;ARQUITECTONICO;Ubicado en la esquina de la carrera 4ª con calle 12, corresponde a una tendencia renacentista con un estilo neoclásico francés, su construcción se inicio en el año 1926 y se inauguró en el año 1933 con planos proyectados por los ingenieros Giovanni Lignarolo, italiano y el belga José Maertens y el trabajo de los arquitectos colombianos Pablo Emilio Paez y Guillermo Carrillo y realizado por el Ferrocarril del Pacifico. Declarado Monumento Nacional el 25 de Julio de 1977. ;Calle 12 entre carrera 4 y carrera 5 # 12 - 04;8893265;Lun a Vier 8am a 12pm y 1pm a 5pm ;N/A;N/A;SI;P10D, E21, T31;No cuenta con parqueaderos;El Palacio Nacional de Cali es la sede de el Consejo Seccional de la Judicatura, el Tribunal Contencioso Administrativo del Valle y del Tribunal Superior de Cali;N/A;;;;;;;;;;;;;;;;
ESTADIO PASCUAL GUERRERO;SALUD, DEPORTE Y BIENESTAR;UNIDAD DEPORTIVA Y RECRETAIVA;"Con ocasión del primer centenario de la ciudad de Cali, se construyó el estadio departamental, que posteriormente se llamó Estadio Pascual Guerrero. En 1937 se inauguró con un cuadrangular de fútbol, ha sido remodelado en cuatro oportunidades ; en 1951 para los XII juegos nacionales ,en 1971 para los VI juegos panamericanos, en el 2001 para la  Copa América y en el 2011 para el campeonato mundial de futbol sub 20.";Carrera 34 carrera 36 / Calle 5B1 y calle 5B3;5566184;De acuerdo a programación ;www.cali.gov.co (secretaria de Deporte y la recreacion);Segun evento programado;SI;E21, E27, E27B (HORA PICO), E37, T31, T47B, T57A;SI;N/A;N/A;;;;;;;;;;;;;;;;
LAS TRES CRUCES;CULTURAL;MONUMENTOS;Promotorio de 1.465 metros sobre el nivel del mar, se levanta airoso en el norte de la ciudad de Santiago de Cali. En su cima los caleños a insinuaciones de los frailes Vicente y Juan Cuesta, quienes predicaron unas misiones colocaron en 1837 tres cruces de guadua para conjurar a la ciudad de los males del “buziraco”, demonio que desde España anuncio la ruina de Santiago de Cali. El padre Marco Tulio Collazos capitaneo un movimiento en pro del monumento a la insignia de cristo, y el día 6 de enero de 1938 termino la construcción en ferroconcreto de las tres gigantes cruces que actualmente conocemos, la cruz central mide 26 mts y las laterales 22 mts;Corregimiento de Montebello;N/A;N/A;www.cali.gov.co/emru/publicaciones/1388/las_tres_cruces/;N/A;NO;NO;NO;N/A;N/A;;;;;;;;;;;;;;;;
TEATRO MUNICIPAL ENRIQUE BUENAVENTURA;CULTURAL;TEATROS;Ubicado en la carrera 5ª con calle 7ª esquina. El 9 de Abril de 1918 se colocó la primera piedra, y es inaugurado el 30 de noviembre de 1927, con la  presentación de la Compañía Italiana de Opera  de Adolfo Bracale con “El Trovador” de Verdi, es un edificio perteneciente a la corriente arquitectónica iniciada en el siglo XlX del clasicismo criollo, en su construcción se siguió el modelo del teatro de ópera italiano, con sus respectivas adaptaciones neoclásicas. Fue la primera construcción en ostentar artes decorativas, conserva su telón original elaborado por G. Alessandrini de la casa Peyron de Roma, al igual que los asientos importados de Austria, las cortinas y los artesonados encargados a la casa Henry Lefol de París.;Carrera 5 # 6 - 64;8839106;De acuerdo a programación ;www.teatromunicipal.gov.co;Depende del evento;SI;A02, E21, T31, A06, A01;No cuenta con parqueadero;N/A;Secretaría de Cultura;;;;;;;;;;;;;;;;
