Nombre;Teléfono;Correo electrónico;Direccion;Corregimiento;Categoría
bosque colibrí reserva natural;3166946977;rn.bosquecolibri@gmail.com;el minuto/ a la derecha por la huellas 1 km;villacarmelo;ecot de la montaña
reserva natural biovittal;3116450720;lili.porti19@gmail.com;sector bosques del rio meléndez;villacarmelo;ecot de la montaña
la senda del barcino;3172269742;N/A;300 metros adelante del crucero san josé hacia la candelaria;villacarmelo;ecot de la montaña
eco meeting;3178194191;gonzalezartista@hotmail.com;vereda el carmen;villacarmelo;ecot de la montaña
bachue;3178811874;bachueretiros@gmail.com;vereda dosquebradas;villacarmelo;ecot de la montaña
carboneros camping dog;3153027145;campingdog.carboneros@gmail.com;vereda la fonda;villacarmelo;ecot de la montaña
proyecto de-mente;3175265801;luzmante@gmail.com;vereda el carmen;villacarmelo;ecot de la montaña
Las delicias de lucydey;3005426242;N/A;100 metros después del minuto, acera izquierda subiendo;villacarmelo;ecot de la montaña
colibrí zafiro;3174039527;arteagaorteg@hotmail.com;curva de la media torta km 10 ;buitrera;la ruta del guatín
la waira;3154008533;N/A;km 12 casa 15 altos del rosario;buitrera;la ruta del guatín
bakura;3173756351;N/A;carretera hacia el rosario;buitrera;ecot de la montaña
finca la Primavera;3156730125;turismoruralcali1@gmail.com;km 7 casa 13 e. reserva natural la primavera;buitrera;la ruta del guatín
bichacue yath arte y naturaleza;3174977191;bichacueyath@yahoo.com;al lado de la biblioteca pública del corregimiento la Leonera;la leonera;destino leonera
granja ágora manantial;3122891652;clepeva@yahoo.es;vereda el porvenir;la leonera;destino leonera
marandua;3155728280;jhomerovalencia@yahoo.com;vereda el porvenir;la leonera;destino leonera
reserva natural los yarumos;3147454017;rnyarumos@yahoo.es;vereda el porvenir;la leonera;destino leonera
el rancho de stella;3178288792;el-ranchode-stella@hotmail.com;vereda el porvenir;la leonera;destino leonera
finca sueños;3182038851;thana16@hotmail.com;vereda el porvenir;la leonera;destino leonera
the sammy coffe;3158284986;arbeyyepes@gmail.com ;vereda el pajuil;la leonera;destino leonera
finca alto bonito;3006172932;N/A;cabecera la leonera;la leonera;destino leonera
finca la primavera;3185441269;jmaritza415@gmail.com;vereda peñas blancas;pichinde;destino farallones
finca alejandría;3104680478;elsaruizsuarez@hotmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca la conchita; 3176352673;contactofincalaconchita@gmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
bosque de niebla birding and nature;3147242828;N/A;parcelacion el silencio;la elvira;avistamiento de aves
finca la florida ;3104923064;N/A;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca agroecológica y turística la arcadía;3225017526;Jamescastanot@gmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca agroecoturística la paila de lilia;3122163213;lapailadelilia@gmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
Posada del águila s.a.s;3202357394;reservasposadadelaguila@gmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
las margaritas cabañas cali;3006528957;jfpitom@hotmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
cabañas donde pacheco;3205652148;elianita-2088@hotmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca villa carolina;3117645252;egrajales24@hotmail.com;vereda alto aguacatal;la elvira;avistamiento de aves
campo aroma;3235934742;giselarengifo98@gmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca la martina;3205568975;sarengifog@unal.edu.co;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
cabaña la rosalba;3172502863;jandrescamacho@outlook.es;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
la herencia cabañitas;3104598009;moryr2@hotmail.com;km 18 vía cali - buenaventura;la elvira;avistamiento de aves
finca bello horizonte;3146165341;bellohorizontecali@hotmail.com;km 18 vía cali - buenaventura;saladito;avistamiento de aves
centro de educación ambiental andoke;3163063756;mariposaandoke@gmail.com;vía la reforma;andes;destino andes
agro ecoturismo las abejitas;3154959545;celio-car@hotmail.com;vía la reforma;andes;destino andes
eco parque tangara;3505304000;coedcoambiente@gmail.com;vereda el faro;andes;destino andes
reserva natural kantu;3117495339;jgpolania2001@yahoo.com;cabecera pichínde;pichinde;destino farallones
reserva natural sociedad civil la laguna;3117795587;eusebio.angulo59@gmail.com;veredas las granjas;la castilla;ecot de la montaña
finca altamira;3164039398;atarambiental16@hotmail.com;veredas las granjas;la castilla;parque tematico
