Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
1,02/03/2015,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
2,02/04/2015,Febrero,Canada,Quebec,Extranjero,N/A,Norteamerica,Femenino,Más de 45 años,Otros,Consulta Punto de Información - servicio de transporte,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,Más de 10 noches
3,02/04/2015,Febrero,Francia,Paris,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,Más de 10 noches
4,02/04/2015,Febrero,Francia,Paris,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,Más de 10 noches
5,02/04/2015,Febrero,Suiza,Schwyz,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,Más de 10 noches
6,02/04/2015,Febrero,USA,California,Extranjero,N/A,Norteamerica,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Vivienda turistica,N/A,Aéreo,2-3 Noches
7,02/04/2015,Febrero,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Negocios,N/A,Español,N/A,Hotel,N/A,Aéreo,2-3 Noches
8,02/05/2015,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Otros,Consulta Punto de Información - Información turistica,Español,N/A,Reside,N/A,Reside,Reside
9,02/06/2015,Febrero,Polonia,Varsovia,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Otro,Polaco,Hostal,N/A,Aéreo,4-6 Noches
10,02/06/2015,Febrero,Polonia,Varsovia,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Otro,Polaco,Hostal,N/A,Aéreo,4-6 Noches
11,02/06/2015,Febrero,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,No responde,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,2-3 Noches
12,02/06/2015,Febrero,Brasil,Goiania,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Portugues,N/A,Vivienda turistica,N/A,Terrestre público,2-3 Noches
13,02/07/2015,Febrero,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,2-3 Noches
14,02/07/2015,Febrero,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,2-3 Noches
15,02/07/2015,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
16,02/07/2015,Febrero,Uruguay,Colonia,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,2-3 Noches
17,02/07/2015,Febrero,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,2-3 Noches
18,02/07/2015,Febrero,España,Malaga,Extranjero,N/A,Europa,Masculino,Más de 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,7-10 Noches
19,02/07/2015,Febrero,Colombia,Bogota,Nacional,Centro,N/A,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4-6 Noches
20,02/09/2015,Febrero,Australia,Innsbrud,Extranjero,N/A,Oceania,Femenino,Más de 45 años,Cultural,N/A,Alemán,N/A,Hotel,N/A,Aéreo,2-3 Noches
21,02/09/2015,Febrero,Australia,Innsbrud,Extranjero,N/A,Oceania,Masculino,Más de 45 años,Cultural,N/A,Alemán,N/A,Hotel,N/A,Aéreo,2-3 Noches
22,02/09/2015,Febrero,Argentina,Rosario,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,1 Noche
23,02/09/2015,Febrero,Argentina,Rosario,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,1 Noche
24,02/09/2015,Febrero,Brasil,Rio de Janeiro,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2-3 Noches
25,02/09/2015,Febrero,Israel,Tel Aviv,Extranjero,N/A,Asia,Masculino,21 - 45 años,Cultural,N/A,Otro,Hebreo,Hotel,N/A,Terrestre público,7-10 Noches
26,02/09/2015,Febrero,Argentina,Bariloche,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,2-3 Noches
27,02/09/2015,Febrero,Argentina,Caba,Extranjero,N/A,America Latina,Masculino,0 - 20 Años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2-3 Noches
28,02/09/2015,Febrero,USA,San Francisco,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,2-3 Noches
29,02/09/2015,Febrero,Argentina,Caba,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Visita parientes o amigos,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,Más de 10 noches
30,02/10/2015,Febrero,Colombia,Tulua,Nacional,Occidente,N/A,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
