Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
1,01/04/2017,Enero,Croacia,No responde,Extranjero,N/A,Europa,Masculino,50,Más de 45 años,Cultural,N/A,Otro,Croata,Hotel,N/A,Aéreo,2,2 - 3 Noches
2,01/04/2017,Enero,Croacia,No responde,Extranjero,N/A,Europa,Femenino,53,Más de 45 años,Cultural,N/A,Otro,Croata,Hotel,N/A,Aéreo,2,2 - 3 Noches
3,01/04/2017,Enero,Estados Unidos,No responde,Extranjero,N/A,Norteamerica,Masculino,64,Más de 45 años,Turismo rural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,60,Más de 10 noches
4,01/05/2017,Enero,Holanda,No responde,Extranjero,N/A,Europa,Masculino,28,21 - 45 años,Cultural,N/A,Otro,Neerlandes,Hotel,N/A,Aéreo,5,4 - 6 Noches
5,01/05/2017,Enero,Colombia,Tocaima,Nacional,Centro,N/A,Femenino,20,0-20 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,5,4 - 6 Noches
6,01/05/2017,Enero,Colombia,Tocaima,Nacional,Centro,N/A,Masculino,26,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,5,4 - 6 Noches
7,01/05/2017,Enero,Colombia,Meta,Nacional,Oriente,N/A,Masculino,31,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre particular,4,4 - 6 Noches
8,01/05/2017,Enero,Colombia,Tolima,Nacional,Centro,N/A,Femenino,28,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,4,4 - 6 Noches
9,01/05/2017,Enero,Colombia,San Andres,Nacional,Norte,N/A,Masculino,29,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,12,Más de 10 noches
10,01/05/2017,Enero,Colombia,San Andres,Nacional,Norte,N/A,Femenino,26,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,12,Más de 10 noches
11,01/05/2017,Enero,Taiwan,No responde,Extranjero,N/A,Asia,Masculino,55,Más de 45 años,Cultural,N/A,Otro,Mandarin,Hostal,N/A,Aéreo,5,4 - 6 Noches
12,01/05/2017,Enero,Perú,Lima,Extranjero,N/A,America Latina,Masculino,25,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 - 3 Noches
13,01/05/2017,Enero,Argentina,Tucuman,Extranjero,N/A,America Latina,Femenino,29,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,3,2 - 3 Noches
