Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
1;2018-01-12;Enero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;22;21 a 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches;;;;;;;;;;
2;2018-01-12;Enero;Perú;Lima;Extranjero;N/A;America Latina;Masculino;48;Más de 45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;6;4-6 Noches;;;;;;;;;;
3;2018-01-12;Enero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;33;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;3;2-3 Noches;;;;;;;;;;
4;2018-01-12;Enero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;41;21 a 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;3;2-3 Noches;;;;;;;;;;
5;2018-01-12;Enero;Sudáfrica;Pretoria;Extranjero;N/A;Africa;Femenino;31;21 a 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;30;Mas de 10 Noches;;;;;;;;;;
6;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;57;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
7;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;64;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
8;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;23;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
9;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;45;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
10;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;60;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
