Encuesta;Fecha;Mes;Pais de procedencia;Ciudad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo
1;2019-02-09;Febrero;Francia;Sicilia;Extranjero;N/A;Europa;Masculino;27;21-45 años;Cultural;N/A;Francés;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
2;2019-02-09;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;56;Mas de 45 años;Negocios;N/A;Español;N/A;Otros;N/A;Aéreo;365;Mas de 10 Noches
3;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
4;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
5;2019-02-09;Febrero;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;N/A;N/A;N/A
6;2019-02-09;Febrero;Chile;Teruco;Extranjero;N/A;America latina;Masculino;23;21-45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;9;7-10 Noches
7;2019-02-09;Febrero;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;22;21-45 años;Cultural;N/A;Español;N/A;Otros;N/A;N/A;N/A;N/A
8;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
9;2019-02-10;Febrero;Perú;Lima;Extranjero;N/A;America latina;Masculino;41;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
10;2019-02-10;Febrero;Alemania;Frankfurt;Extranjero;N/A;Europa;Masculino;56;Mas de 45 años;Cultural;N/A;Alemán;N/A;Otros;N/A;Aéreo;3;2-3 Noches
11;2019-02-11;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Masculino;32;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
12;2019-02-11;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;59;Mas de 45 años;Cultural;N/A;Español;N/A;Otros;N/A;Terrestre público;365;Mas de 10 Noches
13;2019-02-11;Febrero;Colombia;Barranquilla;Nacional;Norte;N/A;Femenino;38;21-45 años;Cultural;N/A;Español;N/A;Otros;N/A;Terrestre público;3;2-3 Noches
14;2019-02-11;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;31;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;3;2-3 Noches
15;2019-02-11;Febrero;Alemania;No responde;Extranjero;N/A;Europa;Femenino;29;21-45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
16;2019-02-11;Febrero;Francia;No responde;Extranjero;N/A;Europa;Femenino;29;21-45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
17;2019-02-11;Febrero;Colombia;Pasto;Nacional;Sur;N/A;Masculino;31;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
18;2019-02-11;Febrero;Colombia;Neiva;Nacional;Centro;N/A;Masculino;38;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
19;2019-02-11;Febrero;Colombia;Neiva;Nacional;Centro;N/A;Femenino;30;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
20;2019-02-12;Febrero;Colombia;Cartagena;Nacional;Norte;N/A;Masculino;45;21-45 años;Otros;Evento Deportivo;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;15;Mas de 10 Noches
21;2019-02-12;Febrero;Colombia;Bucaramanga;Nacional;Centro;N/A;Femenino;22;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
22;2019-02-12;Febrero;Estados Unidos;Middletown;Extranjero;N/A;Norteamerica;Masculino;27;21-45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
23;2019-02-12;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Masculino;32;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
24;2019-02-12;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;75;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
25;2019-02-12;Febrero;Francia;Tolouse;Extranjero;N/A;Europa;Masculino;33;21-45 años;Cultural;N/A;Francés;N/A;Hotel;N/A;Aéreo;8;7-10 Noches
26;2019-02-12;Febrero;Estados Unidos;New York;Extranjero;N/A;Norteamerica;Femenino;29;21-45 años;Cultural;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;5;4-6 Noches
27;2019-02-12;Febrero;Chile;Santiago de Chile;Extranjero;N/A;America latina;Masculino;29;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda turística;N/A;Aéreo;4;4-6 Noches
28;2019-02-12;Febrero;Estados Unidos;Los Angeles;Extranjero;N/A;Norteamerica;Femenino;57;Mas de 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;5;4-6 Noches
29;2019-02-12;Febrero;Bélgica;Amberes;Extranjero;N/A;Europa;Femenino;24;21-45 años;Cultural;N/A;Alemán;N/A;Otros;N/A;Aéreo;4;4-6 Noches
30;2019-02-12;Febrero;Ecuador;Loja;Extranjero;N/A;America latina;Masculino;25;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda turística;N/A;Terrestre público;4;4-6 Noches
