"REGIÓN","OTROS TERRITORIOS","PAÍS","Localización","EXIGE VISA CORTA DURACIÓN","EXIGE VISA PARA PASAPORTE OFICIAL","EXIGE VISA PARA PASAPORTE DIPLOMATICO","CONDICIONES ESPECIALES","Identificador","FECHA"
"ORIENTE MEDIO","NO","BAHR�IN",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTR�NICA","16","12/07/2023"
"ORIENTE MEDIO","NO","EMIRATOS �RABES UNIDOS",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO","58","12/07/2023"
"AMERICA DEL NORTE","NO","CANAD�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)","36","12/07/2023"
"AMERICA CENTRAL","NO","EL SALVADOR",,"NO","NO","NO","(N/A)","57","12/07/2023"
"ASIA DEL SUR","NO","BUT�N",,"SI","SI","SI","(N/A)","32","12/07/2023"
"ASIA DEL SUR","NO","BANGLADESH",,"SI","SI","SI","(N/A)","17","12/07/2023"
"EUROPA SCHENGEN","NO","ESLOVAQUIA",,"NO","NO","NO","(N/A)","60","12/07/2023"
"ISLAS PACIFICO","NO","ISLAS SALOM�N",,"SI","SI","SI","(N/A)","94","12/07/2023"
"EUROPA SCHENGEN","NO","B�LGICA",,"NO","NO","NO","(N/A)","19","12/07/2023"
"AFRICA OCCIDENTAL","NO","GUINEA",,"SI","SI","SI","(N/A)","78","12/07/2023"
"AFRICA ORIENTAL","NO","DJIBOUTI",,"SI","SI","SI","(N/A)","53","12/07/2023"
"ASIA DEL SUR","NO","INDIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","87","12/07/2023"
"ASIA DEL ESTE","NO","FILIPINAS",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 D�AS","67","12/07/2023"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)",,"NO","NO","NO","(N/A)","76","12/07/2023"
"AFRICA OCCIDENTAL","NO","GHANA",,"SI","SI","SI","(N/A)","73","12/07/2023"
"EUROPA SCHENGEN","NO","ESLOVENIA",,"NO","NO","NO","(N/A)","61","12/07/2023"
"EURASIA","NO","ARMENIA",,"SI","SI","SI","(N/A)","10","12/07/2023"
"EUROPA SCHENGEN","NO","CHIPRE",,"NO","NO","NO","(N/A)","41","12/07/2023"
"AFRICA CENTRAL","NO","CONGO REP�BLICA DEMOCR�TICA",,"SI","SI","SI","(N/A)","44","12/07/2023"
"AFRICA DEL NORTE","NO","ARGELIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","8","12/07/2023"
"ISLAS PACIFICO","NO","ISLAS MARSHALL",,"SI","SI","SI","(N/A)","93","12/07/2023"
"EURASIA","NO","GEORGIA",,"NO","NO","NO","(N/A)","72","12/07/2023"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AM�RICA",,"SI","SI","SI","(N/A)","63","12/07/2023"
"EUROPA SCHENGEN","NO","GRECIA",,"NO","NO","NO","(N/A)","74","12/07/2023"
"ORIENTE MEDIO","NO","IRAQ",,"SI","SI","SI","(N/A)","90","12/07/2023"
"AFRICA OCCIDENTAL","NO","CABO VERDE",,"SI","SI","SI","(N/A)","33","12/07/2023"
"EUROPA SCHENGEN","NO","DINAMARCA",,"NO","NO","NO","(N/A)","52","12/07/2023"
"AFRICA ORIENTAL","NO","ERITREA",,"SI","SI","SI","(N/A)","59","12/07/2023"
"AFRICA DEL SUR","NO","COMORAS",,"SI","SI","SI","(N/A)","42","12/07/2023"
"AMERICA DEL SUR","NO","CHILE",,"NO","NO","NO","(N/A)","39","12/07/2023"
"AFRICA CENTRAL","NO","BURUNDI",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA","31","12/07/2023"
"EUROPA SCHENGEN","NO","CHECA REP�BLICA",,"NO","NO","NO","(N/A)","38","12/07/2023"
"EURASIA","NO","BIELORRUSIA",,"SI","SI","SI","(N/A)","22","12/07/2023"
"EUROPA OCCIDENTAL","NO","IRLANDA",,"SI","SI","SI","(N/A)","91","12/07/2023"
"AMERICA CARIBE","SI","ARUBA (PA�SES BAJOS)",,"NO","NO","NO","(N/A)","11","12/07/2023"
"AFRICA OCCIDENTAL","NO","GAMBIA",,"SI","SI","SI","(N/A)","71","12/07/2023"
"AFRICA CENTRAL","NO","GAB�N",,"SI","SI","SI","(N/A)","70","12/07/2023"
"AMERICA CARIBE","NO","HAIT�",,"SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR M�NIMO 6 MESES","83","12/07/2023"
"AMERICA CARIBE","NO","DOMINICA",,"NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 D�AS","54","12/07/2023"
"AMERICA DEL SUR","NO","BOLIVIA",,"NO","NO","NO","(N/A)","23","12/07/2023"
"EUROPA SCHENGEN","NO","FRANCIA",,"NO","NO","NO","(N/A)","69","12/07/2023"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM",,"SI","SI","SI","(N/A)","28","12/07/2023"
"AFRICA CENTRAL","NO","CAMER�N",,"SI","SI","SI","(N/A)","35","12/07/2023"
"OCEANIA","NO","FIJI",,"SI","SI","SI","(N/A)","66","12/07/2023"
"EUROPA SCHENGEN","NO","ALEMANIA",,"NO","NO","NO","(N/A)","3","12/07/2023"
"EUROPA SCHENGEN","NO","ESPA�A",,"NO","NO","NO","(N/A)","62","12/07/2023"
"AMERICA CARIBE","NO","GRENADA",,"SI","SI","SI","(N/A)","75","12/07/2023"
"AFRICA DEL SUR","NO","ANGOLA",,"SI","SI","SI","(N/A)","5","12/07/2023"
"SUDESTE ASIATICO","NO","INDONESIA",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","88","12/07/2023"
"EUROPA OCCIDENTAL","NO","ANDORRA",,"NO","NO","NO","(N/A)","4","12/07/2023"
"ASIA DEL ESTE","NO","JAP�N",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","98","12/07/2023"
"AFRICA CENTRAL","NO","CONGO",,"SI","SI","SI","(N/A)","43","12/07/2023"
"ORIENTE MEDIO","NO","ARABIA SAUDITA",,"SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO","7","12/07/2023"
"AMERICA CARIBE","NO","BARBADOS",,"NO","NO","NO","(N/A)","18","12/07/2023"
"AFRICA DEL NORTE","NO","EGIPTO",,"SI","NO- ACUERDO ESPECIAL","NO- ACUERDO ESPECIAL","(N/A)","56","12/07/2023"
