place_id,nombre,direccion,tipo_territorio,departamento,pais,latitud,longitud,calificacion,total_calificaciones,comentarios,nivel_precios,telefono,tipo_telefono,sitio_web,entrada_accesible,es_reservable,estado_negocio,tags,abre_lunes,abre_martes,abre_miercoles,abre_jueves,abre_viernes,abre_sabado,abre_domingo,abierto_24h,fuente,direccion_original
ChIJ4ym1rp-mMI4RdMtQYqwmVGE,la casona valluna,carrera 38d numero 4c - 54 nueva granada,Ciudad,Valle del Cauca,Colombia,3.4262786,-76.5463588,4.4,3865.0,"terrible experiencia, las marranitas llegaron rápido, pero todos los demás platos se demoraron más de una hora, tuvimos que preguntar varias veces por la comida, y siempre parecía que no tenían ni idea. finalmente les dijimos que nos íbamos a ir, y entonces en ese momento si entregaron la comida. la verdad si piensa ir, pues sólo marranitas, aborrajado y eso tipo de cosas que ya las tienen listas. | hice un pedido de 100 empanadas y casi otros 100 entre marranitas y aborrajados y llegaron empacados en dos cajas, en las cuales todo venía amontonado y la mitad de los productos venían aplastados por el peso de las demás cosas, en una masa de grasa y rellenos qué no se sabía qué era qué. el ají, en vez de mandar un recipiente grande con las cantidades equivalentes para el tamaño del pedido, deciden mandar un montón de emvases plásticos minúsculos y desechables de plástico, cosa que aparte de engorrosa al momento de servir genera bastante basura innecesaria. la calidad de los productos es muy regular, porque la mayor parte del relleno es papa, maduro y maíz, y la carne, chicharrón y queso eran minúsculos. además todo estaba demasiado grasoso y pot ejemplo las empanadas que uno espera sean crocantes, llegaron tan blandas que parecían hechas el día anterior. terrible la calidad de todo. desde los empaques, el servicio al cliente y la calidad de los productos. jamás volveré a pedir o recomendar este sitio. | no me gustó. los precios son altos para lo que realmente ofrecen, pedí pensando que si era caro y todo pequeño seguro era porque tenían una sazón buenísima y no, no vale la pena comprar una empanada casi vacía y sin sabor en 3mil pesos, todo estaba escurriendo gotas de aceite, las salsas tampoco eran nada impresionante, la empanadas de verdad que me parecieron muy malas para lo que piden, lo menos malo fueron las papas rellenas (que ni huevo tenían, así sea uno de codorniz o un cuarto de un huevo) pero de resto, las marranitas estaban blandas y los aborrajados desabridos… por ese precio sería justo o algo más grande o algo con más sabor. además algunas salsas sabían como si estuvieran pasadas. ojalá mejoren eso. pd: faltaron dos papas rellenas en mi pedido. | espantoso, imposible de comer ya no son lo mismo que antes, es increible como un negocio puede caer tan bajo y hablo estrictamente de la comida. pedimos una picada para dos personas... el chorizo frio y prácticamente crudo con poca cocción, una masa amarilla en forma de coca que nunca supimos que era.., las empanadas de masa gruesa muy poco crocantes y con sabor a grasa vieja, el chunchulo tuvimos que desecharlo porque era literalmente imposible de comer, parecía un chicle viejo y sin ningun sabor. lo único que medio se salvó fue el trozo de res que si edtaba blando y otro de pollo que también se pudo comer. el bofe no estaba duro pero tampoco tenia sabor alguno, parecia que lo habian congelado, descongelado y recalentado, ni que hablar del chicharrón, juzguen uds mismos en el video, parece chicharrón de vitrina de bombillo de hace 3 dias como caucho de neumático. en resumen este negocio para mí ya no existe, qué pesar. el domicilio tardó una hora y 40 minutos en llegar. fueron amables en su atención, todo hay que decirlo. | tenía un recuerdo bonito de infancia porque sus empanadas eran lo mejor. su comida a veces buena a veces no. vinimos a almorzar una tarde y todo excelente pero traje a cenar a la familia del extranjero una noche de lunes y la verdad.. un poco decepcionada. de todo los que pedimos nada fresco, ni el chunchulo, ni el bofe, menos el chorizo… parecían dwscongelados sin buena cocción. el churrasco… en verdad muy frustrante que poco bueno. los aborrajados de maduro pasaron la prueba y las empanadas hasta donde recuerdo pasan también la prueba.",Normal,+57 310 4472694,Móvil,http://www.lacasonavalluna.com/,True,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"cra. 38d #4c - 54, nueva granada, cali, valle del cauca, colombia"
ChIJOSmvKmafMI4RETXHkKCXnEQ,restaurante don frijoles,kilometro 8 auto cali - jamundi,Ciudad,Valle del Cauca,Colombia,3.3157705,-76.5226615,4.4,845.0,"en un principio creía que era un simple restaurante de carretera con comida criolla muy cara. para mí sorpresa, el sitio es amplio, ventilado y muy cómodo, la comida es espectacular, su sabor es el apropiado, las porciones son generosas, y la atención es excelente. me sorprende la calidad del servicio, desde quien acompaña en el parqueadero, los y las meseras, el administrador y los dueños, todo fue una experiencia agradable, un sitio recomendadisimo, parada obligada para disfrutar de una buena comida, excelente atención y un lugar agradable. y para rematar, estábamos celebrando un cumpleaños, reserva de mesa súper fácil, mesa decorada, y un pequeño postre de cortesía para el cumpleañero. 10 de 10. felicitaciones a todos en don frijoles, a mi y mi familia nos encantó todo, una grata experiencia que volveremos a repetir pronto. | la comida es gigante y deliciosa, el precio es muy bueno para el tamaño del plato . fuimos entre semana y entregaron el plato muy rápido (el fin de semana siempre se ve muy lleno) aunque es abierto hace un poco de calor. | excelente calidad de sus platos y muy buena atención | buen menú, atención cálida y excelente ambiente | la comida es deliciosa, la atención extraordinaria, la rapidez en la entrega de la comida para el volumen de gente que manejan me pareció muy buena porque no se demoran mucho...pero mi flechazo fue la panocha con helado una absoluta delicia...super recomendado...",Normal,+57 602 5551281,Móvil,http://donfrijoles.com/,True,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"kilómetro 8, auto. cali - jamundi, cali, valle del cauca, colombia"
ChIJX-Xz9HymMI4RUJwkZv5KnSY,zumaia restaurante cocina de autor,carrera 6 numero 1-11 comuna 3,Ciudad,Valle del Cauca,Colombia,3.4473271,-76.5401779,4.5,761.0,"zumaia in san antonio is hands down one of the best restaurants in cali! the food was absolutely incredible—every dish was packed with flavor, especially the ones inspired by colombia’s pacific coast. we enjoyed every single bite. the ambiance was just as good as the food. the decor is beautiful, the vibe is warm and welcoming, and the san antonio neighborhood adds an extra layer of charm with its cobblestone streets and historic buildings. cocktails and mocktails were also top-notch, and the service was friendly and attentive. zumaia definitely lived up to the hype—would 100% recommend if you’re in cali! zumaia en san antonio es de los mejores restaurantes en cali, sin duda. la comida estaba deliciosa, llena de sabores increíbles del pacífico colombiano—disfrutamos cada plato. el lugar es súper lindo, con muy buena vibra y decoración hermosa. además, san antonio es un barrio con calles empedradas y casitas antiguas que le dan un toque especial. los cócteles y mocktails estaban brutales y el servicio excelente. todo fue un hit. ¡recomendadísimo! | zumaia: sabor con identidad y altura en una casa patrimonial de san antonio, zumaia ofrece cocina de autor con influencias latinas y asiáticas. platos bien ejecutados, ambiente sofisticado y cocteles que sorprenden. ideal para una cena especial. requiere reserva. | llegué alrededor de las 10:00 p.m. y me recibieron con una cálida bienvenida. un anfitrión me acompañó personalmente hasta una mesa en el segundo piso, algo poco común en colombia, donde usualmente te dicen “donde quieras”. este gesto se sintió intencional y cayó bien. solo fui por postre y café, y pedí el helado de cristales de lulo. el mesero fue atento y, unos minutos después de servir, regresó a preguntar si todo estaba a mi gusto (otro detalle que, para mi sorpresa, no es muy común por aquí). en general, un servicio excelente y una experiencia muy agradable. | amo este lugar. comida excepcional, buena atención, música. de mis favoritos. | la comida me gustó mucho. la atención fue muy buena. la mesera siempre estuvo pendiente de nosotros. si recomiendo este lugar",Caro,+57 321 5426489,Móvil,http://www.zumaiarestaurante.com/,False,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,False,False,Google API,"cra. 6 # 1-11, comuna 3, cali, valle del cauca, colombia"
ChIJ2-_EZ3ymMI4RyWbLa5BkGT4,la bohme restaurantebar,calle 1 numero 6 - 09 comuna 3,Ciudad,Valle del Cauca,Colombia,3.4471263,-76.54042559999999,4.4,2059.0,"la comida es exquisita, el ambiente muy acogedor y la atención en su punto! una excelente opción al momento de elegir un restaurante | lugar con vista y una linda terraza. servicio al cliente es muy buena. la comida de su lado tiene buena presentación pero al nivel de sabor normal. | la comida si bien es algo costosa pero la verdad vale la pena, el sabor es muy bueno, la cantidad es más grande de lo que parece, la atención es muy formal y dedicada, el espacio es demasiado lindo y la vista es muy linda. un plan muy recomendado en san antonio. | buena ubicacion tiene buena vista y sentir la brisa del atardecer del valle ,pero la comida es muy simple y se siente muy seca y sin sazon el precio no esta acorde con el plato buena atencion y atmosfera | es un buen lugar, la comida tiene buen sabor aunque las ensaladas no son el fuerte del restaurante. la atención es excelente",Caro,+57 311 3696667,Móvil,https://app.menupp.co/restaurant/laboheme/menu,False,True,operational,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"cl. 1 #6 - 09, comuna 3, cali, valle del cauca, colombia"
ChIJOzT7zBOhMI4RykkV05POULk,restaurante la antioquea,carrera 91 numero 34 99 comuna 17,Ciudad,Valle del Cauca,Colombia,3.3772174,-76.5208767,4.3,1203.0,"me gusta el lugar: atienden rápido, la comida es deliciosa y los precios son buenos. es importante tener en cuenta que algunos platos de la carta solo están disponibles ciertos días | excelente la atención y la comida deliciosa recomendadisimo | es un excelente restaurante la palabra excelente me queda corta, tienen un súper calidad humana, se les nota que quieren el restaurante y desean que mejore y crezca, sirven las comidas en el menor tiempo posible, la comida es deliciosa y la cantidad es acorde a los precios. me encanta este restaurante súper recomendado, son muy ordenados y tiene calidez el entorno. excelente 20 de 10 | la sopa del sancocho de gallina junto con la limonada estuvieron bien, lo demás le falta mucho el arroz con camarones: el arroz pareciera que se cocinara aparte de los camarones, porque me supo insípido, rescato que tenía buena porción de camarones costilla bbq: a mi parecer era mucho hueso y grasa, y para colmo el sabor de la carne no era el mejor les falta organizarse mejor en la atención, porque el servicio es lento, y no saben qué mesas faltan por atender. deberían ampliar su sede. y recomendaría que pusieran una pared de panel yeso por lo menos, para la separación del baño | el servicio es lo que esperas, la comida tiene buena presentación a la mesa. hace mucho tiempo quería venir y hasta hora lo logro. se ve deliciosa la bandeja, bien completa y como debe ser, además acompañada de una sopita personal como entrada. recomendado..... ojo!!! no reciben tarjetas... una falla enorme!!! por eso lo bajo a 2 estrellas",Económico,+57 316 9096666,Móvil,https://restaurantelaantioquena.com/,,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"cra. 91 #34 99, comuna 17, cali, valle del cauca, colombia"
ChIJYVEU82umMI4R0p1uR7MPo50,restaurante sazn pacfico colombiano,avenida 5 norte numero 17n-23 san vicente,Ciudad,Valle del Cauca,Colombia,3.4596348,-76.5309303,4.5,1236.0,"excelente servicio de los colaboradores, la comida deliciosa y a muy buen precio, me encantó el lugar. | si buscas comida del pacífico colombiano y comida del mar, este lugar es una visita obligada. comí la mejor cazuela de mariacos. fue increíble. | muy buena opción para quienes laboramos en el norte de la ciudad. la comida tiene muy buena sazón, la atención es eficiente y el servicio no es demorado, a veces se siente calor, pues el aire no alcanza a enfriar el espacio completamente. reciben tarjetas y efectivo como medios se pago. | es un lugar que parece normal pero es espectacular el sabor de la comida, plato recontra recomendado el salmón al ajillo, pescado en su punto y con una salsa deliciosa, el arroz con coco y los patacones deliciosos. sin duda uno de los mejores pescados qué he probado | los almuerzos ricos de 25.000 en adelante. la atención de parte del personal bien.",Normal,+57 602 3839515,Móvil,,True,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"av. 5 nte. #17n-23, san vicente, cali, valle del cauca, colombia"
ChIJ7cxefSSmMI4RO_ME-FqWN0U,restaurante hema fogon,calle 39 norte numero 3n-07,Ciudad,Valle del Cauca,Colombia,3.4754463,-76.5192748,4.7,1390.0,"sensacional este lugar. pedimos tamal, sancocho y bandeja paisa, todo estaba excelente de sabor (más que excelente diría). la atención es 1a, tanto nuestros meseros como la administradora, que estuvo pendiente en todo momento. volveremos para conocer la terraza que pronto van a ampliar según nos dijeron. | desde el parqueo empieza la excelente experiencia, hospitalidad desde el primer contacto. espacios limpios bonitos organizados. comida deliciosa y muy rica. la atención de mabel y angeli fue excelente, sus recomendaciones muy acertadas y nos sentimos mi esposa y yo muy bien atendido. el café delicioso. | amo este restaurante. he ido muchas veces y nunca me han decepcionado, el sazón increíble, la atención 10/10 e incluso los domicilios son impecables. recomendados al 1000% | la carta se compone de platos típicos de todas las regiones, nada sorprendente los sabores pero cumple. la chuleta es rica pero hay opciones superiores para este plato en la ciudad, como todas, se recomienda para compartir. al servicio le falta amabilidad. | un fogón elegante con alma criolla. hema fogón eleva lo tradicional: sancocho servido como joya de domingo, chicharrón crujiente que baila entre lo rústico y lo gourmet, y una chuleta valluna que se roba el show. el ambiente es cálido sin perder estilo, y cada detalle, desde la vajilla hasta la sazón, se siente curado con cariño. es ese tipo de lugar donde el alma se reconforta… y el paladar se aplaude.",Normal,+57 321 8545334,Móvil,https://app.menupp.co/restaurant/hema?fbclid=PAAaaaMl6tmlxbYsmEw4G2jt6fr5yySCtUeWZua9-R-LdOp9eZ7aRBWsQt6AY_aem_AfsMd5R1CBkmyPuMoxr80GidVqf7QNTyozCJPZJ1Mo7mS-oG1axZWdWz3EaC54NtF2I,True,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"cl. 39 nte. #3n-07, cali, valle del cauca, colombia"
ChIJDXCPBomvMI4RbK0RjGZ8dLc,restaurante la cabaa cali,cali - dagua numero kilometro 17,Ciudad,Valle del Cauca,Colombia,3.5041919,-76.6193596,4.6,2299.0,"me encanta visitar este lugar. la atención es excelente, el personal muy especial y el ambiente, realmente agradable. además, cuenta con zonas diseñadas especialmente para los niños, lo que lo hace aún más acogedor para toda la familia | buen sitio para relajarse y comer rico con frío en nuestro caso pedimos chocolate con queso. muy rico, bastante sabor a clavos. sin embargo deberían de tener la opción de queso mozarella (solo viene con cuajada) el cual casi no se derrite porque el chocolate tiende a enfriarse rápido por el clima más allá de esto excelentes instalaciones volveríamos seguramente | lindo sitio bella vista, tradicional kilómetro 18, muy ricos y freskos langostinos apanados, a probar, rica carne, el sito es muy agradable. hay que volver. | visita fue el 15/12/24. el mejor restaurante del km 18, porciones grandes y llenadoras. los camareros muy amable y serviciales en todo momento, la comida si tarde un poquito en salir pero esto se debe a que no hay ningún momento del día en el que el sitio no este lleno. este sitio se caracteriza por el uso de leña para cocinar sus platos, dandole un sabor único y especial. la lengua criolla, muy tierna, sabor potente, recuerda a la te podría cocinar tu abuelita. el sancocho de gallina con sabor a leña lo hace único, un caldo con esencia y una satisfacción inmediata al probarlo, una carne de gallina de calidad y cocinada perfecta. la costilla ahumada, sabor a leña sin decepcionar, carne de buena calidad y sin necesidad de una sazón extrema para sentir el sabor y queda conforme. restaurante familiar cien por cien recomendado. | súper agusto con la atención tiene unos espacios maravillosos los jardines son geniales la comida muy deliciosa recomendado al 100%",Caro,+57 315 4709632,Móvil,,True,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"cali - dagua #kilometro 17, cali, valle del cauca, colombia"
ChIJeSYNujKnMI4R9AoUXBMdtuk,trilogia valluna ve,avenida 6 n numero 13 -17 granada,Ciudad,Valle del Cauca,Colombia,3.4571376,-76.5338886,4.9,88.0,"la comida es deliciosa y fresca, las porciones son grandes y el servicio es excelente. lo recomiendo si quieren probar comida valluna típica. lo único es que tengan cuidado de no dejar sus vehículos afuera del lugar porque les pueden robar los espejos (vimos que le pasó a 2 vehículos). | trilogia valluna tiene un ambiente tranquilo, lo mas importante aquí y que subió puntos para mi, fue la atención al cliente tan espectacular. desde que entras te estan recibiendo con una sonrisa en el rostro, esto es algo que se extraña mucho cuando lo comparas con el extranjero. la comida es deliciosa muy hogareña, la fritanga me encantó, todo se nota que esta elaborado con bastante sazón | excelente comida, servicio y ambientación. sin duda ha sido uno de los mejores lugares a los que he ido porque he sentido la energía valluna en la comida y en el ambiente, recomendaria este lugar a todos mis conocidos sin dudarlo. especial agradecimiento a kevin por la atención brindada | una excelente experiencia un excelente servicio excelente gente y la comida espectacular para la comida tradicional caleña | soy de ecuador y mi esposita de colombia, nos fascinó la comida, el auténtico sazón colombiano, super recomendado.",,+57 311 6799693,Móvil,,,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,True,False,Google API,"av 6 n #13 -17, granada, cali, valle del cauca, colombia"
ChIJgfgz-XymMI4RlO-ofSrwptQ,antigua contempornea,carrera 10 numero 1-39 comuna 3,Ciudad,Valle del Cauca,Colombia,3.4466174,-76.5400619,4.7,1963.0,"los platos son deliciosos. el lugar es muy bonito, es una excelente opción para celebrar una fecha especial, para ir con esa persona especial o simplemente para darte tu día de felicidad. me gusta mucho | excelente lugar. precios algo elevados pero valen la pena. buena atención, lugar impecable y muy rústico para aquellos que les gusta la naturaleza platos de buen sabor. recomendado 10/10 | un restaurante maravilloso. con espacios únicos. una variedad de comidas estupendas. deliciosa y en su punto. la atención es muy amable. súper recomendado | en nuestra última visita, a pesar de ser un día entre semana, en el restaurante había suficiente gente. pero el diseño bien pensado garantiza privacidad tanto para parejas visitantes, como para grupos grandes, y la cálida hospitalidad del personal permite que cada cliente se sienta como un ""invitado especial"". agradecemos a nuestros anfitriones sr. rene y sr. david, por su impecable servicio y actitud cordial. y por supuesto, la comida estuvo deliciosa, como siempre en este restaurante. esta vez el ganador en nuestra mesa fue la entrada montadito de burrata y camarones, una increíble combinación de sabores. los langostinos al coco estaban ricos. y sus postres son algunos de los mejores de la ciudad. mi postre favorito es panacota de la casa. fue una experiencia gastronómica muy agradable en un restaurante que puedo recomendar sin dudarlo. | todo maravilloso, buena atención, lugar hermoso lleno de detalles, acogedor, lujoso, comida verdaderamente gourmet de alto nivel, solo un gran detalle, no usen servilletas de papel por favor, usen servilletas de tela que vayan con el nivel del lugar … solo por este detalle no les doy 5 estrellas",Caro,+57 602 8936809,Móvil,https://www.facebook.com/antigua2013/,,True,operational,"['establishment', 'food', 'point_of_interest', 'restaurant']",True,True,True,True,True,True,False,False,Google API,"cra. 10 #1-39, comuna 3, cali, valle del cauca, colombia"
